Instrument Id,Ticker,BloombergTicker,Instrument Subtype,Maturity Date,Option Type,Option Strike,Description,Long/Short Position,Quantity,BCP I Pos Size,BCP II Pos Size,Pos Size Diff,Highmark Pos Size,Fort George Pos Size,Last Trade Date,AlgorithmicsExchangeCountry
,,,,,,,,,,1.32724421,1.2997466,0.02749761,1.32222131,1.09013498,,
11617,CVS,CVS,Equity,,,,CVS HEALTH ORD,Short,,,,,,,,US
13289,TWX,TWX,Equity,,,,TIME WARNER ORD,Long,,,,,,,,US
1226519,FMC,FMC,Equity,,,,FMC ORD,Short,,,,,,,,US
1227319,LEN.B,LEN.B,Equity,,,,LENNAR CL B ORD,Short,,,,,,,,US
1228100,EXAC,EXAC,Equity,,,,EXACTECH ORD,Long,,,,,,,,US
1229289,AKRX,AKRX,Equity,,,,AKORN ORD,Long,,,,,,,,US
1229502,XPO,XPO,Equity,,,,XPO LOGISTICS ORD,Long,,,,,,,,US
1232070,ALA,ALA,Equity,,,,ALTAGAS ORD,Short,,,,,,,,CN
1235729,MTG B,MTG B,Equity,,,,MODERN TIMES GROUP MTG B ORD,Long,,,,,,,,SS
1238172,CALL,CALL,Equity,,,,MAGICJACK VOCALTEC ORD,Long,,,,,,,,US
1238951,PUR,PUR,Equity,,,,PURE TECHNOLOGIES ORD,Long,,,,,,,,CN
1240050,LIX,LIX,Equity,,,,LITHIUM X ENERGY ORD,Long,,,,,,,,CN
1282261,SKY,SKY,Equity,,,,SKY ORD,Long,,,,,,,,LN
6748979,3813,3813,Equity,,,,POU SHENG INT'L ORD,Long,,,,,,,,HK
7415194,ILG,ILG,Equity,,,,ILG ORD,Long,,,,,,,,US
14374566,NXPI,NXPI,Equity,,,,NXP SEMICONDUCTORS ORD,Long,,,,,,,,US
22965338,BV,BV,Equity,,,,BAZAARVOICE ORD,Long,,,,,,,,US
27861815,ALDW,ALDW,Equity,,,,ALON USA PARTNERS COM UNT,Long,,,,,,,,US
37376291,NYRT,NYRT,REIT,,,,NEW YORK REIT ORD,Long,,,,,,,,US
63777701,ALA.R,ALA.R,Equity,,,,ALTAGAS SUB RCPT,Long,,,,,,,,CN
66220725,AMR,AMR,Equity,,,,ALTA MESA RESOURCES CL A ORD,Long,,,,,,,,US
67488270,KLXI,,Equity Option,2/16/2018,Put,65,KLXI Feb8 65.0 P,Short,,,,,,,,US
67494663,MD,,Equity Option,2/16/2018,Put,50,MD Feb8 50.0 P,Short,,,,,,,,US
67498444,MSG,,Equity Option,2/16/2018,Put,200,MSG Feb8 200.0 P,Short,,,,,,,,US
67505681,OMF,,Equity Option,2/16/2018,Put,30,OMF Feb8 30.0 P,Short,,,,,,,,US
67521307,TROX,,Equity Option,2/16/2018,Put,18,TROX Feb8 18.0 P,Short,,,,,,,,US
67527651,CASY,,Equity Option,2/16/2018,Put,115,CASY Feb8 115.0P,Short,,,,,,,,US
67535558,CSOD,,Equity Option,2/16/2018,Put,37.5,CSOD Feb8 37.5 P,Short,,,,,,,,US
67540004,WP,,Equity Option,2/16/2018,Put,75,WP Feb8 75.0 P,Short,,,,,,,,US
67545132,WYN,,Equity Option,2/16/2018,Put,115,WYN Feb8 115.0 P,Short,,,,,,,,US
67547929,XPO,,Equity Option,2/16/2018,Put,75,XPO Feb8 75.0 P,Short,,,,,,,,US
67547930,XPO,,Equity Option,2/16/2018,Put,80,XPO Feb8 80.0 P,Short,,,,,,,,US
67561788,HAIN,,Equity Option,2/16/2018,Put,36,HAIN Feb8 36.0 P,Short,,,,,,,,US
67563053,HES,,Equity Option,2/16/2018,Put,47.5,HES Feb8 47.5 P,Short,,,,,,,,US
67565501,HUM,,Equity Option,2/16/2018,Put,250,HUM Feb8 250.0 P,Short,,,,,,,,US
67565566,HUN,,Equity Option,2/16/2018,Put,31,HUN Feb8 31.0 P,Short,,,,,,,,US
67565567,HUN,,Equity Option,2/16/2018,Put,32,HUN Feb8 32.0 P,Short,,,,,,,,US
67565568,HUN,,Equity Option,2/16/2018,Put,33,HUN Feb8 33.0 P,Short,,,,,,,,US
67568096,ADP,,Equity Option,2/16/2018,Put,110,ADP Feb8 110.0 P,Short,,,,,,,,US
67568097,ADP,,Equity Option,2/16/2018,Put,115,ADP Feb8 115.0 P,Short,,,,,,,,US
67570783,ALXN,,Equity Option,2/16/2018,Put,110,ALXN Feb8 110.0P,Short,,,,,,,,US
67575161,AVXS,,Equity Option,2/16/2018,Put,95,AVXS Feb8 95.0 P,Short,,,,,,,,US
67651177,IMMU,,Equity Option,2/16/2018,Put,14,IMMU Feb8 14.0 P,Short,,,,,,,,US
67652778,VOYA,,Equity Option,2/16/2018,Put,49,VOYA Feb8 49.0 P,Short,,,,,,,,US
67652788,VOYA,,Equity Option,2/16/2018,Put,50,VOYA Feb8 50.0 P,Short,,,,,,,,US
67771369,TWX,,Equity Option,2/16/2018,Call,97.5,TWX Feb8 97.5 C,Short,,,,,,,,US
68418415,KKR,,Equity Option,3/16/2018,Call,24,KKR Mar8 24.0 C,Long,,,,,,,,US
68418442,KKR,,Equity Option,3/16/2018,Put,21,KKR Mar8 21.0 P,Short,,,,,,,,US
68428218,MSCC,,Equity Option,3/16/2018,Put,55,MSCC Mar8 55.0 P,Short,,,,,,,,US
68519503,HAWK,,Equity Option,3/16/2018,Call,45,HAWK Mar8 45.0 C,Short,,,,,,,,US
68932100,BHF,,Equity Option,2/16/2018,Put,60,BHF Feb8 60.0 P,Short,,,,,,,,US
69725775,CHTR,,Equity Option,2/16/2018,Put,310,CHTR Feb8 310.0P,Short,,,,,,,,US
70039589,CVS,,Equity Option,5/18/2018,Call,80,CVS May8 80.0 C,Long,,,,,,,,US
70039591,CVS,,Equity Option,5/18/2018,Call,90,CVS May8 90.0 C,Short,,,,,,,,US
70039633,CVS,,Equity Option,5/18/2018,Put,70,CVS May8 70.0 P,Short,,,,,,,,US
70353905,MAC,,Equity Option,2/16/2018,Put,60,MAC Feb8 60.0 P,Short,,,,,,,,US
70959904,MGM,,Equity Option,6/15/2018,Put,33,MGM Jun8 33.0 P,Short,,,,,,,,US
71038387,AKRX,,Equity Option,6/15/2018,Put,32.5,AKRX Jun8 32.5 P,Long,,,,,,,,US
71113300,MGM,,Equity Option,6/15/2018,Call,41,MGM Jun8 41.0 C,Long,,,,,,,,US
71113354,MGM,,Equity Option,6/15/2018,Call,45,MGM Jun8 45.0 C,Short,,,,,,,,US
71474458,DWDP,,Equity Option,2/16/2018,Put,70,DWDP Feb8 70.0 P,Short,,,,,,,,US
71538451,EA,,Equity Option,2/16/2018,Put,105,EA Feb8 105.0 P,Short,,,,,,,,US
